SMILES;pH_aq;name;logIE;instrument;source;solvent;doi
OC(=O)c1ccccc1;10.5;benzoic acid;0.11;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;10.5;3,5-dinitrobenzoic acid;1.26;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
OC(=O)c1cccc(c1)C(F)(F)F;10.5;3-trifluoromethylbenzoic acid;1.37;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Oc1c(F)c(F)c(F)c(F)c1F;10.5;pentafluorophenol;1.55;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
CC(C)(C)c1ccc(cc1)C(O)=O;10.5;4-tert-butylbenzoic acid;1.36;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;10.5;2,3,5,6-Tetrafluoro-4-(pentafluorophenyl)phenol;2.69;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;10.5;pentakis(trifluoromethyl)phenol;2.6;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Oc1ccc(cc1)c2ccccc2;10.5;4-phenylphenol;0.62;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Oc1ccccc1c2ccccc2;10.5;2-phenylphenol;0.45;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
OC(=O)c1cccc(Cl)c1;10.5;3-chlorobenzoic acid;0.77;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Nc1ccc(cc1)C(O)=O;10.5;4-aminobenzoic acid;0.08;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
OC(=O)c1ccc(O)cc1;10.5;4-hydroxybenzoic acid;0.37;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Nc1cccc(c1)C(O)=O;10.5;3-aminobenzoic acid;0.21;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
OC(=O)c1c(F)c(F)c(F)c(F)c1F;10.5;pentafluorobenzoic acid;0.95;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;10.5;2,4-dinitrophenol;1.2;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
CN(C)c1cccc(c1)C(O)=O;10.5;3-dimethylaminobenzoic acid;1.05;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
CC(C)c1ccc(cc1)C(O)=O;10.5;4-isopropylbenzoic acid;0.67;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
CC(C)(C)c1ccccc1O;10.5;2-tert-butylphenol;-0.09;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O;10.5;2,5-dinitrophenol;1.45;Agilent XCT;ESI;MeCN/0.1% ammonia(aq) 20/80;10.1021/acs.analchem.7b00595
