Ionization Mode;name;pH_aq;CAS Registry Number;DTXSID;MS-Ready DTXCID;Number of Mixtures;Mixture;Retention Time;Concentration Level;Concentration (mM);Observed Intensity;Normalization Factor;Normalized Intensity;log-log Calibration Curve Intercept;log-log Calibration Curve Slope;Calibration Curve Concentration Estimate (mM);Upper-Bound Calibration Curve Concentration Estimate (mM);Lower-Bound Calibration Curve Concentration Estimate (mM);True Concentration Within CC-Based Concentration Bounds?;Error Quotient: Upper-Bound Calibration Curve Concentration Estimate / True Concentration;Response Factor;Upper-Bound RF-Based Concentration Estimate (mM);Lower-Bound RF-Based Concentration Estimate (mM);True Concentration Within RF-Based Concentration Bounds?;Error Quotient: Upper-Bound RF-Based Concentration Estimate / True Concentration;logIE;instrument;source;solvent;doi;Box-Cox Transformed Response Factor (l = 0.285);Linear Mixed-Effects Model Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Upper-Bound Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Lower-Bound Transformed Response Factor Estimate;IE-Based RF Imputed with Minimum RF / √2?;Upper-Bound IE-Based Concentration Estimate (mM);Lower-Bound IE-Based Concentration Estimate (mM);True Concentration Within IE-Based Concentration Bounds?;Error Quotient: Upper-Bound IE-Based Concentration Estimate / True Concentration;Prediction Quotient: Upper-Bound RF-Based Concentration Estimate / Upper Bound IE-Based Concentration Estimate
Esi+;Phenacetin;6;62-44-2;DTXSID1021116;DTXCID001116;1;506;2.27;Low;0.024;9.54E+05;0.935;8.92E+05;7.65;1.033;0.023;NA;NA;;NA;3.72E+07;0.651;0.004;YES;27.123;2.728;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;500.7;480.1;225.1;735.3;NO;0.385;0.006;YES;16.039;1.691
Esi+;Phenacetin;6;62-44-2;DTXSID1021116;DTXCID001116;1;506;2.27;Mid;0.122;5.80E+06;0.983;5.70E+06;7.65;1.033;0.137;NA;NA;;NA;4.68E+07;4.164;0.023;YES;34.13;2.728;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;534.8;480.1;225.1;735.3;NO;2.462;0.04;YES;20.183;1.691
Esi+;Phenacetin;6;62-44-2;DTXSID1021116;DTXCID001116;1;506;2.27;High;0.49;1.41E+07;1.411;1.99E+07;7.65;1.033;0.46;NA;NA;;NA;4.07E+07;14.543;0.082;YES;29.68;2.728;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;513.8;480.1;225.1;735.3;NO;8.6;0.14;YES;17.551;1.691
Esi+;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;2;499;8.8;Low;0.024;2.14E+06;1.015;2.18E+06;7.69;0.829;0.024;0.041;0.013;YES;1.706;9.07E+07;1.588;0.009;YES;66.174;3.22;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;646.6;576.3;321.5;831.4;NO;0.273;0.01;YES;11.393;5.808
Esi+;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;2;499;8.8;Mid;0.122;9.40E+06;1.037;9.75E+06;7.69;0.829;0.144;0.247;0.085;YES;2.028;7.99E+07;7.117;0.04;YES;58.339;3.22;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;623.7;576.3;321.5;831.4;NO;1.225;0.045;YES;10.044;5.808
Esi+;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;2;499;8.8;High;0.49;2.57E+07;1.12;2.88E+07;7.69;0.829;0.531;1.001;0.306;YES;2.043;5.88E+07;21.022;0.119;YES;42.902;3.22;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;571.1;576.3;321.5;831.4;NO;3.619;0.132;YES;7.386;5.808
Esi+;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;2;503;8.73;Low;0.024;2.10E+06;0.95;2.00E+06;7.69;0.829;0.021;0.037;0.011;YES;1.548;8.33E+07;1.459;0.008;YES;60.792;3.22;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;631.1;576.3;321.5;831.4;NO;0.251;0.009;YES;10.466;5.808
Esi+;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;2;503;8.73;Mid;0.122;9.31E+06;1.018;9.47E+06;7.69;0.829;0.139;0.239;0.082;YES;1.956;7.76E+07;6.915;0.039;YES;56.677;3.22;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;618.6;576.3;321.5;831.4;NO;1.19;0.043;YES;9.758;5.808
Esi+;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;2;503;8.73;High;0.49;1.90E+07;1.16;2.21E+07;7.69;0.829;0.385;0.705;0.225;YES;1.438;4.50E+07;16.104;0.091;YES;32.865;3.22;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;529.1;576.3;321.5;831.4;NO;2.773;0.101;YES;5.658;5.808
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;499;11.47;Low;0.024;4.97E+06;1.015;5.04E+06;8.45;1.067;0.023;0.042;0.011;YES;1.756;2.10E+08;3.682;0.021;YES;153.417;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;822.7;518.3;263.4;773.4;NO;1.265;0.03;NO;52.718;2.91
