Ionization Mode;name;pH_aq;CAS Registry Number;DTXSID;MS-Ready DTXCID;Number of Mixtures;Mixture;Retention Time;Concentration Level;Concentration (mM);Observed Intensity;Normalization Factor;Normalized Intensity;log-log Calibration Curve Intercept;log-log Calibration Curve Slope;Calibration Curve Concentration Estimate (mM);Upper-Bound Calibration Curve Concentration Estimate (mM);Lower-Bound Calibration Curve Concentration Estimate (mM);True Concentration Within CC-Based Concentration Bounds?;Error Quotient: Upper-Bound Calibration Curve Concentration Estimate / True Concentration;Response Factor;Upper-Bound RF-Based Concentration Estimate (mM);Lower-Bound RF-Based Concentration Estimate (mM);True Concentration Within RF-Based Concentration Bounds?;Error Quotient: Upper-Bound RF-Based Concentration Estimate / True Concentration;logIE;instrument;source;solvent;doi;Box-Cox Transformed Response Factor (l = -0.106);Linear Mixed-Effects Model Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Upper-Bound Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Lower-Bound Transformed Response Factor Estimate;IE-Based RF Imputed with Minimum RF / √2;Upper-Bound IE-Based Concentration Estimate (mM);Lower-Bound IE-Based Concentration Estimate (mM);True Concentration Within IE-Based Concentration Bounds?;Error Quotient: Upper-Bound IE-Based Concentration Estimate / True Concentration;Prediction Quotient: Upper-Bound RF-Based Concentration Estimate / Upper Bound IE-Based Concentration Estimate
Esi-;Aloe-emodin;6;481-72-1;DTXSID2030695;DTXCID0010695;1;503;6.54;Mid;0.122;5.02E+04;1.812;9.09E+04;6.08;1.231;0.122;NA;NA;;NA;7.45E+05;0.328;0.002;YES;2.69;1.705;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.184;7.494;8.012;6.975;NO;0.281;0.002;YES;2.307;1.166
Esi-;Aloe-emodin;6;481-72-1;DTXSID2030695;DTXCID0010695;1;503;6.54;High;0.49;3.16E+05;1.594;5.04E+05;6.08;1.231;0.49;NA;NA;;NA;1.03E+06;1.818;0.011;YES;3.711;1.705;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.259;7.494;8.012;6.975;NO;1.56;0.009;YES;3.183;1.166
Esi-;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;1;505;8.7;Low;0.024;6.02E+04;0.609;3.67E+04;5.85;0.773;0.022;NA;NA;;NA;1.53E+06;0.132;0.001;YES;5.517;1.846;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.349;7.509;8.028;6.99;NO;0.107;0.001;YES;4.465;1.236
Esi-;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;1;505;8.7;Mid;0.122;2.58E+05;0.621;1.60E+05;5.85;0.773;0.148;NA;NA;;NA;1.31E+06;0.578;0.004;YES;4.741;1.846;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.315;7.509;8.028;6.99;NO;0.468;0.003;YES;3.837;1.236
Esi-;Fenarimol;6;60168-88-9;DTXSID2032390;DTXCID0012390;1;505;8.7;High;0.49;5.87E+05;0.636;3.73E+05;5.85;0.773;0.442;NA;NA;;NA;7.62E+05;1.347;0.008;YES;2.75;1.846;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.189;7.509;8.028;6.99;NO;1.091;0.006;YES;2.226;1.236
Esi-;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;1;505;11.35;Low;0.024;1.84E+05;0.609;1.12E+05;6.56;0.92;0.023;NA;NA;;NA;4.68E+06;0.406;0.002;YES;16.897;1.675;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.582;7.49;8.009;6.972;NO;0.352;0.002;YES;14.667;1.152
Esi-;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;1;505;11.35;Mid;0.122;9.17E+05;0.621;5.70E+05;6.56;0.92;0.134;NA;NA;;NA;4.67E+06;2.057;0.013;YES;16.857;1.675;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.581;7.49;8.009;6.972;NO;1.785;0.01;YES;14.632;1.152
Esi-;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;1;505;11.35;High;0.49;2.81E+06;0.636;1.79E+06;6.56;0.92;0.466;NA;NA;;NA;3.65E+06;6.459;0.04;YES;13.182;1.675;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.533;7.49;8.009;6.972;NO;5.607;0.032;YES;11.443;1.152
Esi-;Sulfisoxazole;6;127-69-5;DTXSID6021292;DTXCID001292;1;506;0.39;Mid;0.122;7.51E+04;1.517;1.14E+05;5.58;0.569;0.122;NA;NA;;NA;9.34E+05;0.411;0.003;YES;3.371;1.048;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.237;7.423;7.941;6.905;NO;0.46;0.003;YES;3.768;0.895
Esi-;Sulfisoxazole;6;127-69-5;DTXSID6021292;DTXCID001292;1;506;0.39;High;0.49;1.67E+05;1.508;2.51E+05;5.58;0.569;0.49;NA;NA;;NA;5.13E+05;0.907;0.006;YES;1.851;1.048;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.093;7.423;7.941;6.905;NO;1.014;0.007;YES;2.069;0.895
Esi-;Fluroxypyr;6;69377-81-7;DTXSID2034627;DTXCID0014627;1;501;0.8;Low;0.024;2.50E+04;0.534;1.33E+04;5.93;1.115;0.024;NA;NA;;NA;5.56E+05;0.048;0;YES;2.006;1.476;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.113;7.469;7.988;6.951;NO;0.045;0;YES;1.888;1.062
Esi-;Fluroxypyr;6;69377-81-7;DTXSID2034627;DTXCID0014627;1;501;0.8;Mid;0.122;1.57E+05;0.498;7.83E+04;5.93;1.115;0.119;NA;NA;;NA;6.42E+05;0.283;0.002;YES;2.317;1.476;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.148;7.469;7.988;6.951;NO;0.266;0.002;YES;2.181;1.062
Esi-;Fluroxypyr;6;69377-81-7;DTXSID2034627;DTXCID0014627;1;501;0.8;High;0.49;7.00E+05;0.551;3.86E+05;5.93;1.115;0.497;NA;NA;;NA;7.88E+05;1.393;0.009;YES;2.843;1.476;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.197;7.469;7.988;6.951;NO;1.311;0.008;YES;2.676;1.062
Esi-;"4,4',4""-Ethane-1,1,1-triyltriphenol";6;27955-94-8;DTXSID2037712;DTXCID0017712;1;505;5.31;Mid;0.122;5.44E+04;0.621;3.38E+04;4.95;0.461;0.122;NA;NA;;NA;2.77E+05;0.122;0.001;YES;1;1.675;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;6.935;7.49;8.009;6.972;NO;0.106;0.001;NO;0.868;1.152
Esi-;"4,4',4""-Ethane-1,1,1-triyltriphenol";6;27955-94-8;DTXSID2037712;DTXCID0017712;1;505;5.31;High;0.49;1.01E+05;0.636;6.41E+04;4.95;0.461;0.49;NA;NA;;NA;1.31E+05;0.232;0.001;NO;0.473;1.675;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;6.728;7.49;8.009;6.972;NO;0.201;0.001;NO;0.41;1.152
Esi-;Chloramphenicol;6;56-75-7;DTXSID7020265;DTXCID00208665;1;506;2.2;Low;0.024;7.41E+04;1.652;1.22E+05;6.56;0.911;0.024;NA;NA;;NA;5.10E+06;0.442;0.003;YES;18.419;1.169;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.599;7.436;7.954;6.918;NO;0.471;0.003;YES;19.612;0.939
