filename,name,formula,INCHIKEY,SMILES,ion_mode,exact_mass,precursor_ion,measmass,neutral_loss
AC000425.txt,Citrinin,C13H14O5,CBGDIJWINPWWJW-IYSWYEEDSA-N,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,NEGATIVE,250.08411,249.0774,"Any[205.085, 231.0663, 249.0751]","[43.9924, 18.0111, 0.0023000000000195087]"
AC000426.txt,Citrinin,C13H14O5,CBGDIJWINPWWJW-IYSWYEEDSA-N,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,NEGATIVE,250.08411,249.0774,"Any[205.085, 231.0663, 249.0751]","[43.9924, 18.0111, 0.0023000000000195087]"
AC000427.txt,Citrinin,C13H14O5,CBGDIJWINPWWJW-IYSWYEEDSA-N,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,NEGATIVE,250.08411,249.0774,"Any[161.0951, 177.09, 205.0506, 205.085, 231.0663, 249.0751]","[87.98230000000001, 71.98740000000001, 44.02680000000001, 43.9924, 18.0111, 0.0023000000000195087]"
AC000428.txt,Citrinin,C13H14O5,CBGDIJWINPWWJW-IYSWYEEDSA-N,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,NEGATIVE,250.08411,249.0774,"Any[105.0326, 135.0794, 161.095, 175.0379, 177.09, 205.0506, 205.085, 231.0663, 249.0751]","[144.0448, 113.99800000000002, 87.98240000000001, 74.0395, 71.98740000000001, 44.02680000000001, 43.9924, 18.0111, 0.0023000000000195087]"
AC000429.txt,Citrinin,C13H14O5,CBGDIJWINPWWJW-IYSWYEEDSA-N,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,NEGATIVE,250.08411,249.0774,"Any[68.9963, 77.0376, 79.0169, 105.0325, 105.0689, 120.0559, 131.048, 133.0638, 133.1001, 135.043, 135.0793, 137.095, 145.0638, 146.0721, 148.0509, 149.0589, 159.0792, 161.0588, 161.095, 162.0665, 175.0379, 175.0741, 177.09, 187.0744, 189.0536, 190.0614, 203.0714, 205.085, 231.0663]","[180.0811, 172.0398, 170.0605, 144.0449, 144.00850000000003, 129.0215, 118.02940000000001, 116.01360000000003, 115.97730000000001, 114.0344, 113.99810000000002, 111.98240000000001, 104.01360000000003, 103.0053, 101.0265, 100.01850000000002, 89.99820000000003, 88.01860000000002, 87.98240000000001, 87.01090000000002, 74.0395, 74.00330000000002, 71.98740000000001, 62.003000000000014, 60.02380000000002, 59.01600000000002, 46.006, 43.9924, 18.0111]"
AC000530.txt,Marticin,C18H16O9,HNMWDXUKPJZOQD-UHFFFAOYSA-N,CC12CC3=C(C4=C(C(=O)C=C(C4=O)OC)C(=C3C(O1)CC(O2)C(=O)O)O)O,NEGATIVE,376.07941,375.0727,"Any[287.0561, 301.0717, 331.0809, 375.0699]","[88.01659999999998, 74.00099999999998, 43.99180000000001, 0.0027999999999792635]"
AC000531.txt,Marticin,C18H16O9,HNMWDXUKPJZOQD-UHFFFAOYSA-N,CC12CC3=C(C4=C(C(=O)C=C(C4=O)OC)C(=C3C(O1)CC(O2)C(=O)O)O)O,NEGATIVE,376.07941,375.0727,"Any[274.0483, 283.0612, 285.0404, 287.0561, 300.0639, 301.0717, 313.0717, 331.0808, 357.0616, 375.0699]","[101.02440000000001, 92.01150000000001, 90.03230000000002, 88.01659999999998, 75.00880000000001, 74.00099999999998, 62.000999999999976, 43.99189999999999, 18.0111, 0.0027999999999792635]"
AC000532.txt,Marticin,C18H16O9,HNMWDXUKPJZOQD-UHFFFAOYSA-N,CC12CC3=C(C4=C(C(=O)C=C(C4=O)OC)C(=C3C(O1)CC(O2)C(=O)O)O)O,NEGATIVE,376.07941,375.0727,"Any[259.0248, 268.0377, 269.0455, 270.0534, 271.0612, 272.0326, 273.0404, 274.0483, 283.0612, 285.0404, 285.0721, 286.0483, 287.0561, 298.0483, 300.0639, 301.0717, 313.0717, 316.0588, 357.0616, 375.0698]","[116.04789999999997, 107.03500000000003, 106.0272, 105.01929999999999, 104.01150000000001, 103.0401, 102.03230000000002, 101.02440000000001, 92.01150000000001, 90.03230000000002, 90.00060000000002, 89.02440000000001, 88.01659999999998, 77.02440000000001, 75.00880000000001, 74.00099999999998, 62.000999999999976, 59.01389999999998, 18.0111, 0.002900000000011005]"
AC000533.txt,Marticin,C18H16O9,HNMWDXUKPJZOQD-UHFFFAOYSA-N,CC12CC3=C(C4=C(C(=O)C=C(C4=O)OC)C(=C3C(O1)CC(O2)C(=O)O)O)O,NEGATIVE,376.07941,375.0727,"Any[243.0299, 255.0299, 259.0248, 268.0377, 269.0455, 270.0534, 271.0248, 272.0326, 273.0404, 274.0483, 283.0612, 285.0404, 286.0483, 287.0561, 298.0483, 300.0639, 301.0717, 313.0717]","[132.0428, 120.0428, 116.04789999999997, 107.03500000000003, 106.0272, 105.01929999999999, 104.04789999999997, 103.0401, 102.03230000000002, 101.02440000000001, 92.01150000000001, 90.03230000000002, 89.02440000000001, 88.01659999999998, 77.02440000000001, 75.00880000000001, 74.00099999999998, 62.000999999999976]"
AC000534.txt,Marticin,C18H16O9,HNMWDXUKPJZOQD-UHFFFAOYSA-N,CC12CC3=C(C4=C(C(=O)C=C(C4=O)OC)C(=C3C(O1)CC(O2)C(=O)O)O)O,NEGATIVE,376.07941,375.0727,"Any[227.035, 231.0299, 240.0428, 241.0506, 242.0221, 243.0299, 244.0377, 255.0299, 257.0455, 259.0248, 268.0377, 269.0455, 270.017, 270.0534, 271.0248, 272.0326, 273.0404, 285.0404, 286.0483, 297.0404, 298.0483]","[148.0377, 144.0428, 135.0299, 134.0221, 133.0506, 132.0428, 131.035, 120.0428, 118.0272, 116.04789999999997, 107.03500000000003, 106.0272, 105.0557, 105.01929999999999, 104.04789999999997, 103.0401, 102.03230000000002, 90.03230000000002, 89.02440000000001, 78.03230000000002, 77.02440000000001]"
