min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
5,0.25,removal,1,1000,0.01,13,7,0.89,0.41,0.7555549882804405,0.332489630038453
1,0.2,replacement,2,1000,0.05,25,8,0.4,0.79,0.9417578139472178,0.17273514203168427
0,0.25,removal,2,800,0.005,10,10,0.95,0.58,0.6057851166786066,0.34094101455129044
0,0.25,removal,5,1000,0.03,10,9,0.21,0.89,0.8608012786556263,0.21856039731423849
3,0.0,removal,4,800,0.05,4,7,0.16,0.87,0.8869047181797662,0.43208261232972245
0,0.0,replacement,3,1000,0.005,4,10,0.66,0.28,0.5819680191651664,0.1622604423652938
0,0.25,replacement,4,1000,0.01,10,8,0.36,0.65,0.7149960545730452,0.2022759446429474
0,0.25,removal,3,1000,0.01,4,6,0.48,0.07,0.49725891617068796,0.14761415034059466
1,0.0,replacement,3,600,0.01,10,7,0.57,0.63,0.6376308949021581,0.2830759841279653
3,0.2,replacement,1,800,0.03,4,7,0.09,0.52,0.7738817566827386,0.2130033892424924
3,0.25,removal,4,600,0.005,4,7,0.62,0.32,0.5409899748103661,0.365536621364854
1,0.0,removal,3,600,0.01,10,8,0.11,0.99,0.6399496884178573,0.28079946663592625
0,0.2,replacement,1,800,0.01,13,7,0.59,0.58,0.6739404840123391,0.25556401900453196
5,0.2,removal,4,1000,0.05,13,7,0.06,0.07,0.8043779869946599,-0.17735047567444018
0,0.0,removal,2,800,0.005,10,6,0.83,0.34,0.5175870844279437,0.32401152516197984
1,0.2,removal,5,1000,0.005,4,9,0.44,0.05,0.45249955865676117,0.13045404858224197
0,0.2,removal,5,800,0.03,13,8,0.1,0.39,0.7689712380509119,0.23239179854843672
5,0.2,replacement,3,600,0.01,25,9,0.17,0.58,0.6301615530866983,0.20340082654186953
5,0.2,removal,3,1000,0.01,13,6,0.74,0.94,0.7538879311412366,0.20245011336436747
1,0.25,removal,1,600,0.03,7,9,0.49,0.5,0.8163312852883279,0.22462429764456004
3,0.2,replacement,2,600,0.005,10,7,1.0,0.95,0.5599847634075347,0.2719512810297642
1,0.2,removal,2,600,0.05,10,7,0.73,0.7,0.8772778799123575,0.17305939164979922
3,0.0,replacement,4,1000,0.03,7,10,0.59,0.13,0.8390037319452364,0.40509941423449625
1,0.25,removal,5,600,0.01,10,10,0.18,0.29,0.6434190716701278,0.1802089489505423
5,0.25,removal,2,800,0.01,10,10,0.8,0.18,0.7159828579413698,0.29045873258789356
1,0.2,removal,1,800,0.01,25,8,0.5,0.18,0.6341096550413197,0.2571117631445168
3,0.0,removal,4,600,0.01,4,7,0.92,0.72,0.6590987071895089,0.4015575131312087
3,0.0,removal,5,600,0.05,4,7,0.49,0.85,0.8865816070060315,0.3135383883814955
3,0.2,removal,1,600,0.05,13,7,0.76,0.81,0.9006285176509352,0.20597084685076605
5,0.0,removal,3,800,0.01,10,9,0.7,0.93,0.7680914838464263,0.20684383463037792
1,0.2,replacement,5,1000,0.005,10,8,0.49,0.3,0.57673080059918,0.13667612282493458
3,0.0,replacement,1,1000,0.005,10,7,0.35,0.08,0.5028283017793737,0.2132598018834948
1,0.25,replacement,5,600,0.05,25,9,0.28,0.15,0.8274271152996664,0.12904537139233851
3,0.0,replacement,3,800,0.05,10,9,0.34,0.63,0.9155598397062348,0.3880198554144688
1,0.2,replacement,4,600,0.005,7,9,0.86,0.35,0.5143486648043409,0.1762296249557883
3,0.0,removal,4,800,0.05,10,9,0.05,0.78,0.8430128738002625,0.4075932939629402
3,0.0,replacement,4,800,0.05,7,8,0.41,0.52,0.9042167554482516,0.4065773232298535
3,0.25,replacement,3,1000,0.05,7,8,0.98,0.62,0.9710952745743958,0.355733325876848
5,0.0,removal,3,1000,0.01,4,9,0.66,0.83,0.7920288236001517,0.18319839951799965
5,0.0,removal,3,600,0.01,25,10,0.6,0.32,0.7008266206498113,0.2185900774704257
5,0.0,replacement,4,600,0.03,10,8,0.57,0.66,0.8650883468369317,-0.14755677707843518
3,0.2,removal,5,1000,0.03,7,6,0.83,0.47,0.8663321382820628,0.26486236386234574
5,0.0,replacement,1,600,0.05,10,7,0.52,0.24,0.879090548329172,0.3138688187718056
0,0.2,replacement,3,600,0.03,7,7,0.41,0.05,0.6624019923496633,0.10516973948706343
5,0.2,replacement,5,1000,0.05,10,8,0.21,0.82,0.94436656491312,0.3072144235414762
3,0.2,removal,1,800,0.005,10,7,0.81,0.91,0.6477595508445839,0.2860064155786193
0,0.2,replacement,4,600,0.03,10,10,1.0,0.52,0.867388108355186,0.20872302707719015
1,0.0,removal,5,600,0.03,7,6,0.3,0.44,0.7469289211788073,0.12889525318732753
0,0.0,removal,3,1000,0.005,10,10,0.92,0.92,0.6335515895725389,0.16792615984832404
3,0.25,replacement,1,800,0.03,4,10,0.8,0.26,0.9087661613994533,0.134864521780808
5,0.25,replacement,1,600,0.03,7,10,0.38,0.27,0.8760657013348868,0.3009367552815352
1,0.0,removal,5,600,0.05,10,7,0.45,0.3,0.8279403610979232,0.06190072261602508
0,0.25,replacement,2,600,0.03,10,7,0.36,0.71,0.8008530586236164,0.34547016159612987
5,0.2,removal,4,800,0.05,4,6,0.45,0.6,0.9161654982736442,-0.1848370244145694
5,0.0,removal,2,600,0.005,25,8,0.36,0.52,0.5893120615350318,0.30446282129055624
3,0.0,replacement,3,800,0.03,13,9,0.19,0.86,0.8593448231413305,0.39800888992029404
1,0.25,removal,5,1000,0.005,4,6,0.32,0.65,0.6011509676060411,0.16520246909697622
0,0.25,replacement,4,800,0.03,10,8,0.53,0.64,0.8764524145191911,0.20075404170328293
1,0.25,replacement,2,800,0.05,10,10,0.3,0.75,0.9294103296169436,0.17584384305849354
1,0.2,removal,4,600,0.005,13,9,0.66,0.38,0.5612606539971718,0.26780861252748167
3,0.0,removal,3,800,0.01,25,6,0.64,0.2,0.6207393362052784,0.40830629050265776
1,0.2,replacement,3,600,0.01,4,6,0.64,0.68,0.595811197641501,0.27772644931084056
3,0.2,replacement,1,1000,0.005,7,6,0.41,0.09,0.48787689711986104,0.19813347135614234
1,0.25,removal,5,1000,0.05,7,6,0.58,0.25,0.8700016873822791,0.043033898287622385
3,0.25,removal,1,600,0.01,4,7,0.99,0.27,0.655392716045264,0.27572127833571136
0,0.0,removal,4,600,0.05,10,9,0.28,1.0,0.8617529050566628,0.23351565533772012
1,0.25,removal,3,800,0.03,10,7,0.19,0.76,0.8255087653202342,0.22960180761997062
1,0.25,removal,2,1000,0.03,10,6,0.52,0.09,0.7319159245273434,0.2014344960560982
1,0.25,replacement,1,1000,0.03,25,10,0.87,0.22,0.9083071437547396,0.16933295374916724
3,0.0,replacement,4,1000,0.01,4,8,0.82,0.53,0.7312030042881613,0.4130629527412296
0,0.0,replacement,4,600,0.005,7,9,0.26,0.91,0.5496619576699697,0.2631956435512679
3,0.0,replacement,2,800,0.005,4,7,0.32,0.73,0.612770814769675,0.2765179710819692
1,0.0,removal,1,800,0.03,10,7,0.11,0.2,0.7337272739783618,0.2389484950436449
0,0.25,removal,2,800,0.005,25,7,0.06,0.24,0.4936789686149927,0.3080564563793977
0,0.0,replacement,2,1000,0.005,10,7,0.91,0.25,0.5476179431984186,0.3290456483282451
5,0.2,replacement,5,600,0.01,10,8,0.51,0.72,0.6966169905161406,0.2908122414331141
3,0.0,removal,4,600,0.03,4,9,0.84,0.95,0.847006208546797,0.4167980036546385
1,0.2,replacement,2,800,0.005,25,8,0.38,0.06,0.4285961393413076,0.17652227481713922
1,0.25,removal,3,800,0.05,13,6,0.54,0.47,0.8681811128605263,0.20570035605422232
1,0.2,replacement,3,600,0.01,7,7,0.88,0.32,0.5879232896611182,0.26280438165169495
3,0.2,replacement,4,800,0.05,13,10,0.47,0.15,0.9317384830787447,0.26122692888937804
1,0.2,replacement,4,600,0.05,25,6,0.44,0.39,0.8478380882179742,0.1388522878747569
3,0.25,replacement,1,800,0.01,4,9,0.08,0.44,0.6177792261931554,0.23011002475998432
1,0.0,removal,5,600,0.005,4,7,0.64,0.77,0.5619991798437441,0.1489915782694583
0,0.25,replacement,2,600,0.005,10,8,0.6,0.74,0.522933472618698,0.304367089324466
1,0.2,removal,4,600,0.05,10,10,0.78,0.34,0.8780457586531769,0.25942520765256993
0,0.25,removal,4,600,0.005,7,7,0.73,0.54,0.5245124473614113,0.25871054329907195
5,0.0,removal,5,1000,0.01,4,6,0.12,0.15,0.6386241074728519,0.30940047706657836
0,0.2,replacement,2,600,0.01,4,7,0.31,1.0,0.6078634505854237,0.3263760109906997
0,0.25,replacement,2,1000,0.005,13,7,0.32,0.55,0.5625736336015164,0.3132593502622385
0,0.2,removal,5,1000,0.05,25,8,0.41,0.53,0.8953794242772126,0.18012780444573995
1,0.25,replacement,5,1000,0.005,4,9,0.26,0.05,0.44691983951216907,0.1027267460906316
3,0.0,replacement,2,800,0.01,13,8,0.39,0.75,0.7175816977076812,0.2795424229986321
3,0.25,replacement,1,1000,0.03,25,9,0.13,0.12,0.7460657872265315,0.18098581915304945
3,0.0,replacement,3,800,0.005,13,9,0.66,0.54,0.6233982720149249,0.4164926670767446
3,0.25,replacement,5,800,0.05,13,10,0.72,0.43,0.961395803313482,0.2443072452474977
1,0.0,replacement,3,1000,0.01,7,9,0.92,0.55,0.7224679611842899,0.28342600931555717
0,0.0,removal,2,1000,0.01,25,9,0.8,0.69,0.710098241524485,0.3568509962551947
3,0.0,removal,1,800,0.05,4,6,0.13,0.83,0.8767784481366308,0.18326888473800151
0,0.25,removal,3,800,0.03,7,10,0.96,0.56,0.8402596715475796,0.09215911605873983
1,0.0,removal,2,800,0.05,25,6,0.83,0.15,0.8156491598767032,0.2004505413143297
0,0.2,removal,5,600,0.05,7,6,0.27,0.51,0.8042225103845854,0.21159512060998276
1,0.25,replacement,1,600,0.03,7,10,0.22,0.94,0.822600582901538,0.21937186749715876
1,0.0,removal,5,600,0.005,13,9,0.15,0.29,0.5172684475174232,0.15748728732055695
5,0.0,replacement,3,1000,0.03,13,8,0.48,0.85,0.9182961473795512,0.134658357498319
5,0.25,removal,3,600,0.01,7,7,0.17,0.25,0.6540581022723679,0.20504074504291947
1,0.0,removal,2,800,0.01,13,9,0.23,0.99,0.7092030650151924,0.2372935764736711
3,0.0,replacement,4,600,0.005,13,8,0.24,0.41,0.5486033947327064,0.3660339972808382
0,0.2,replacement,1,1000,0.01,25,8,0.48,0.31,0.7060586187763143,0.26811940943396695
3,0.0,replacement,3,800,0.05,13,7,0.39,1.0,0.9156330517414254,0.38727889737700505
5,0.2,removal,4,1000,0.03,4,8,0.35,0.72,0.9151077613658807,-0.16378525975079605
0,0.2,removal,4,600,0.03,4,8,0.91,0.81,0.8034795213627256,0.22773568324631888
3,0.25,replacement,5,1000,0.05,13,8,0.81,0.74,0.9725323623182756,0.22374584218273974
0,0.25,replacement,1,800,0.01,25,8,0.8,0.08,0.5659872676923486,0.2458291624502973
5,0.0,replacement,5,800,0.01,13,6,0.22,0.19,0.6372639909824558,0.31101948557653236
5,0.2,replacement,1,800,0.01,25,9,0.34,0.25,0.712037172916107,0.3092154499657127
0,0.0,removal,4,600,0.01,13,8,0.17,0.72,0.6177100601832696,0.27055374441851576
3,0.0,replacement,3,800,0.05,13,10,0.2,0.23,0.875659101959031,0.4017754077065562
0,0.2,removal,5,600,0.01,4,8,0.22,0.69,0.6300221291018115,0.2810700306469214
0,0.25,removal,1,600,0.01,7,9,0.11,0.36,0.6118899860618621,0.2794949019118572
1,0.2,removal,1,800,0.01,13,10,0.23,0.07,0.5581511130695149,0.22474011205547506
0,0.25,removal,4,1000,0.05,4,6,0.66,0.94,0.8920687257694455,0.17629062764054038
1,0.0,replacement,2,600,0.01,7,10,0.76,0.65,0.679743127357966,0.25359501112558835
0,0.25,replacement,1,800,0.05,10,10,0.41,0.38,0.9204162713562711,0.24601127448915183
1,0.0,replacement,1,600,0.03,25,6,0.75,0.17,0.7064228870839849,0.23971274301429135
5,0.2,replacement,3,600,0.01,4,10,0.34,0.97,0.7090322352937252,0.22475689473030191
5,0.0,replacement,1,800,0.03,13,7,0.97,0.6,0.8897327087212302,0.3158824636434494
0,0.0,removal,3,600,0.01,7,6,0.12,0.16,0.4869352233850105,0.14527909029137442
5,0.25,removal,4,600,0.01,25,8,0.92,0.32,0.6969053543375949,-0.04266738564204542
5,0.0,replacement,4,800,0.05,7,10,0.14,0.87,0.9170202133520992,-0.1646855308449422
3,0.2,removal,2,800,0.03,4,8,0.6,0.49,0.8720817519445766,0.19992730466290387
5,0.25,removal,5,600,0.05,4,8,0.08,0.5,0.8681693158339058,0.2795977686981921
0,0.2,removal,1,1000,0.01,25,10,0.08,0.89,0.7007668251313579,0.2831055363299221
1,0.2,replacement,2,600,0.005,4,8,0.64,0.7,0.5320723632786677,0.20720659020660726
3,0.2,removal,1,1000,0.05,25,10,0.15,0.74,0.92746323982717,0.16653937692829457
1,0.25,removal,3,600,0.01,7,8,0.67,0.11,0.5522011872386535,0.27941336160498254
5,0.25,removal,1,1000,0.05,25,9,0.39,0.8,0.9566766168082868,0.2516371891079212
0,0.0,removal,5,1000,0.005,10,10,0.28,0.46,0.6123335282638404,0.2809485995234954
5,0.0,replacement,2,800,0.03,10,9,0.6,0.71,0.8980923444796914,0.30327167710153535
1,0.0,removal,3,1000,0.01,13,8,0.07,0.05,0.5067387332785412,0.2516138151380882
1,0.25,replacement,5,600,0.03,10,9,0.91,0.34,0.8542305192108292,0.17816840965232605
1,0.25,removal,4,600,0.01,10,6,0.29,0.2,0.5686746276840504,0.2659140769108045
5,0.25,removal,1,800,0.01,4,10,0.86,0.32,0.7546659815632316,0.325532916181292
3,0.0,replacement,1,600,0.05,25,10,0.88,0.37,0.8972713113450966,0.19690816922583354
0,0.0,replacement,4,1000,0.005,10,8,0.14,0.4,0.569268986758912,0.2639394008902698
0,0.2,replacement,2,1000,0.03,25,8,0.61,0.76,0.9083422952387717,0.31444732402535946
1,0.0,removal,4,1000,0.01,4,7,0.91,0.15,0.6243938933964243,0.2747689774127394
1,0.0,removal,3,600,0.005,10,7,0.23,0.34,0.5149886668447428,0.27652391074588845
0,0.2,replacement,2,600,0.05,13,10,0.87,0.56,0.9266670176581054,0.3082950734029909
3,0.0,replacement,4,1000,0.01,4,8,0.62,0.32,0.7094570627409185,0.4052744756457164
1,0.2,removal,4,800,0.01,4,6,0.59,0.71,0.6705649595149732,0.2919066360582382
1,0.0,removal,1,1000,0.03,7,10,0.54,0.84,0.8879491505254887,0.21150888735162066
1,0.0,removal,4,600,0.005,13,6,0.54,0.91,0.546740382665287,0.27390790452421865
1,0.2,replacement,3,600,0.05,7,10,0.52,0.2,0.8888528444897783,0.22621871097193547
5,0.2,replacement,1,600,0.005,4,6,0.7,0.26,0.48631067888385393,0.2710059852693558
1,0.0,removal,2,800,0.03,25,10,0.24,0.22,0.8053909565036332,0.2090964711353015
3,0.2,removal,1,600,0.01,10,10,0.31,0.94,0.7243712648402754,0.27965127041175
0,0.25,removal,1,1000,0.01,4,7,0.31,0.86,0.6944988038502713,0.2729774220719625
3,0.0,replacement,5,1000,0.03,25,6,0.46,0.17,0.8086946723498063,0.2536171630726858
3,0.2,removal,2,1000,0.01,13,8,0.64,0.21,0.7105537825926065,0.2597208138613537
0,0.2,removal,2,600,0.005,7,7,0.26,0.18,0.4493792935459626,0.2801074574754009
5,0.2,removal,1,600,0.03,10,7,0.73,0.47,0.8481310906949422,0.3123326669149932
1,0.25,removal,2,800,0.05,13,9,0.84,0.38,0.9079612701668063,0.17202898905474118
1,0.25,replacement,3,600,0.05,13,10,0.97,0.95,0.9348520007648667,0.23906964264091446
3,0.0,replacement,4,1000,0.01,7,9,0.86,1.0,0.7600329904906427,0.4149704121784308
0,0.2,removal,1,1000,0.01,7,10,0.4,0.21,0.6715180757905811,0.28138821263172986
3,0.25,removal,5,800,0.01,7,10,0.82,0.42,0.7338405176032936,0.32378507103205423
3,0.2,replacement,3,1000,0.01,7,6,0.86,0.35,0.6992348652310776,0.366354670567239
3,0.0,replacement,4,600,0.05,4,7,0.7,0.71,0.8829234087739266,0.4032570916964513
0,0.25,removal,5,1000,0.005,10,9,0.29,0.2,0.5596259767979408,0.25476507217006084
