min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
0,0.25,removal,4,800,0.01,25,10,0.92,0.77,0.6797105481403862,0.2579791241095828
5,0.2,replacement,5,1000,0.01,13,10,0.48,0.98,0.8222550868109029,0.3003678302336851
5,0.25,replacement,3,1000,0.01,4,6,0.68,0.36,0.7248661538645986,0.177763091834927
1,0.2,removal,5,800,0.005,13,6,0.4,0.63,0.5642424019159764,0.1079440392487
0,0.25,removal,3,600,0.03,4,6,0.81,0.57,0.7252880327246106,0.17178492035098847
3,0.0,replacement,5,800,0.03,25,10,0.72,0.31,0.850914544547581,0.28392267552158623
0,0.25,replacement,1,800,0.01,7,9,0.39,0.37,0.6387406182635003,0.271011551102065
5,0.25,removal,3,800,0.05,7,10,0.29,0.89,0.9408253844605033,0.049725249916911296
1,0.0,removal,5,1000,0.05,25,10,0.83,0.12,0.856505457613991,0.09452758653962512
3,0.25,replacement,1,800,0.005,7,8,0.19,0.06,0.47043928129318824,0.1986571539528038
0,0.0,replacement,2,600,0.01,10,7,0.6,0.64,0.5912828697866257,0.36989670928841345
1,0.25,replacement,1,800,0.005,25,7,0.94,0.42,0.5315681764291564,0.28115693630016825
3,0.25,removal,2,800,0.01,25,6,0.84,0.59,0.6786405008221237,0.271811031430353
0,0.2,replacement,4,800,0.01,4,8,0.36,0.43,0.6454560665165703,0.21954723373025664
3,0.25,removal,2,600,0.03,13,8,0.59,0.41,0.8262769978181624,0.2239977055675998
5,0.0,replacement,2,600,0.005,4,6,0.46,0.46,0.5374094019949729,0.2470360379027915
0,0.25,removal,4,1000,0.05,4,10,0.62,0.91,0.9116846127785083,0.14725064140021904
0,0.25,removal,4,1000,0.005,4,8,0.58,0.83,0.5977151619138585,0.2520197094696919
3,0.0,removal,5,1000,0.005,10,8,0.57,0.39,0.6160459364266401,0.3265818715480564
1,0.25,replacement,3,800,0.005,13,8,0.98,0.45,0.5446468446463536,0.30550613037811736
0,0.2,replacement,3,800,0.05,7,6,0.24,0.76,0.8609441724593634,0.22627911718445715
0,0.0,replacement,1,800,0.03,4,9,0.88,0.07,0.6589070787883828,0.30315355403817856
5,0.2,removal,1,800,0.01,4,8,0.51,0.61,0.7328549268319384,0.34576040774746486
5,0.25,replacement,5,600,0.03,10,10,0.08,0.7,0.7497320192818533,0.2933797132400998
1,0.25,removal,4,800,0.01,7,9,0.68,0.91,0.7179504230673114,0.2426211315707194
0,0.0,replacement,3,600,0.05,13,8,0.9,0.21,0.7859706117016898,0.17749857370521605
1,0.25,replacement,2,800,0.01,25,10,0.97,0.35,0.685876518744166,0.18354447286515885
0,0.0,replacement,3,800,0.005,10,8,0.26,0.54,0.5432606382433298,0.1877736011308695
1,0.25,replacement,5,1000,0.05,10,6,0.91,0.2,0.9213951587049453,0.1241066087465289
1,0.2,replacement,1,800,0.005,13,9,0.99,0.06,0.45266106594863376,0.252159942439767
3,0.2,removal,2,600,0.03,7,7,0.34,0.81,0.8276010629542969,0.2218978345294439
0,0.0,replacement,4,800,0.03,13,10,0.12,0.46,0.7706400225687148,0.2579663657480641
3,0.25,replacement,1,600,0.005,13,6,0.95,0.14,0.463078338997842,0.20788308027910996
0,0.2,replacement,3,800,0.005,10,9,0.53,0.9,0.5816586517977411,0.22629902941196223
5,0.2,replacement,4,800,0.005,25,6,0.92,0.54,0.5799612376896857,-0.037738904543141105
1,0.2,replacement,3,800,0.01,10,10,0.37,0.07,0.5807946672419123,0.2788396567486652
3,0.0,replacement,2,600,0.01,10,10,0.46,0.73,0.6888882459012661,0.28293319031468434
0,0.25,removal,4,800,0.005,13,10,0.26,0.13,0.4964366764903966,0.25323681491501204
0,0.2,replacement,5,1000,0.005,7,10,0.29,0.18,0.5375259986166515,0.24110243693373845
1,0.25,replacement,3,600,0.05,10,7,0.39,0.85,0.8839321515626132,0.2889167760842981
5,0.2,removal,3,600,0.05,25,6,0.8,0.51,0.8863201951956905,0.09440286576480306
0,0.25,replacement,4,1000,0.03,4,7,0.68,0.99,0.8997268810611263,0.21730077728148378
3,0.0,removal,2,600,0.05,10,10,0.74,0.21,0.8687631381078812,0.22142792476149764
5,0.25,removal,3,800,0.005,4,7,0.33,0.75,0.6373643841453716,0.15579511050356665
3,0.25,removal,2,800,0.05,10,7,0.74,0.23,0.894140597251009,0.1690133451284882
3,0.0,replacement,2,1000,0.05,4,7,0.41,0.19,0.8813041855627479,0.21544948928190855
1,0.2,removal,1,800,0.01,13,8,0.51,0.36,0.6425087246373011,0.2901177040226286
1,0.0,removal,3,800,0.05,10,10,0.8,0.22,0.8657243954610657,0.19032903119140243
0,0.25,replacement,4,1000,0.005,13,7,0.84,0.33,0.5606115804274795,0.22935227092057708
0,0.25,removal,2,800,0.03,10,6,0.95,1.0,0.8018073926870095,0.33522153255674214
0,0.0,removal,4,600,0.01,4,8,0.16,0.91,0.5997247416706941,0.255750402818944
0,0.25,removal,1,800,0.005,10,9,0.34,0.07,0.42471845805386166,0.2477584630933889
5,0.0,removal,1,1000,0.03,7,10,0.3,0.72,0.9103276630077624,0.31660347635841324
1,0.25,replacement,2,600,0.05,13,6,0.9,0.67,0.8978030180961596,0.11586351354317481
0,0.0,replacement,2,600,0.005,25,7,0.23,0.69,0.5087927785709044,0.3514012823424909
0,0.0,replacement,2,600,0.05,13,9,0.15,0.28,0.7758071976029176,0.34530795462020103
1,0.2,removal,2,600,0.005,4,10,0.38,0.87,0.5948350916628145,0.1810606508380278
5,0.25,replacement,2,600,0.03,25,7,0.18,0.94,0.7539026197567809,0.25501874382690126
5,0.2,replacement,2,1000,0.05,13,8,0.79,0.79,0.9797664342497535,0.23765940779009165
1,0.2,removal,4,800,0.01,4,6,0.74,0.82,0.6580600422331653,0.2681013193829309
1,0.0,removal,4,800,0.03,13,7,0.54,0.35,0.8102590732022399,0.25216797025085735
5,0.2,replacement,2,800,0.005,10,7,0.23,0.59,0.5739880969845281,0.22884794539688535
