min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
1,0.2,removal,5,1000,0.03,25,10,0.88,0.8,0.8845482733966383,0.1368199206187508
3,0.25,replacement,2,1000,0.03,7,7,0.87,0.94,0.9370330236767906,0.22085633946382255
0,0.2,replacement,4,1000,0.03,25,10,0.12,0.39,0.7471565788391588,0.23039622616194866
1,0.25,replacement,4,1000,0.005,7,8,0.37,0.15,0.5303961745852895,0.23508163677747063
0,0.25,replacement,2,800,0.05,4,10,0.96,0.57,0.9445442405344977,0.299950992878127
3,0.2,replacement,1,800,0.01,25,8,0.66,0.5,0.7340467025445903,0.19582186598597928
1,0.0,replacement,5,800,0.03,10,6,0.24,0.17,0.7132188589605257,0.1869847191706776
0,0.0,replacement,3,800,0.03,10,8,0.45,0.68,0.8038941531872669,0.2473192721423887
3,0.2,removal,1,600,0.005,4,7,0.27,0.21,0.5305090120631911,0.23109720261714295
5,0.2,removal,5,600,0.01,13,8,0.7,0.58,0.6900554405151655,0.2083452267942113
1,0.25,removal,1,600,0.05,25,9,0.98,0.27,0.8471927449067934,0.2570514012909989
0,0.2,replacement,2,1000,0.005,25,7,0.2,0.43,0.5122428348474379,0.3068926326480893
3,0.2,removal,1,800,0.03,7,9,0.21,0.18,0.817704665052765,0.21367976528584676
5,0.0,removal,5,800,0.05,13,10,0.42,0.75,0.9297398611049641,0.21079799349487338
3,0.0,removal,5,600,0.005,10,7,0.82,0.46,0.5408933311405959,0.31684569011188746
0,0.2,replacement,2,1000,0.005,10,10,0.21,0.66,0.5807949530811007,0.31804172782983664
3,0.25,removal,4,600,0.05,10,7,0.76,0.1,0.7958967959848331,0.3328165209659931
0,0.2,replacement,3,800,0.005,13,8,0.95,0.68,0.5689166003446552,0.28035873437656034
5,0.0,removal,4,600,0.01,10,10,0.87,0.28,0.6742915005658848,0.1180421890189367
0,0.25,replacement,1,800,0.01,25,7,0.88,0.61,0.6539135556962334,0.2583688970199933
5,0.25,removal,2,600,0.03,10,7,0.17,0.07,0.7064501320236475,0.23389057420873294
5,0.0,replacement,1,1000,0.05,13,10,0.14,0.88,0.9173189678034314,0.32233133434088324
