leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
13,500,6,0.1,1,7,0.75,0.76,0.9444,0.5189,0.1983
13,600,6,0.11,1,6,0.4,0.98,0.92,0.4953,0.1983
13,600,6,0.08,3,6,0.43,0.64,0.9023,0.6311,0.2169
7,600,6,0.05,2,8,0.82,0.87,0.9282,0.5131,0.202
10,500,6,0.08,1,6,0.75,1.0,0.9186,0.5215,0.1983
4,500,6,0.05,3,9,0.69,0.73,0.9206,0.6376,0.2169
13,500,6,0.08,3,7,0.6,0.66,0.9272,0.6302,0.2169
10,500,6,0.11,2,8,0.6,0.56,0.9615,0.485,0.202
4,700,6,0.05,2,10,0.35,0.96,0.9346,0.5309,0.202
10,600,6,0.11,2,8,0.71,0.73,0.9742,0.5109,0.202
25,600,6,0.1,3,6,0.5,0.86,0.9057,0.6159,0.2169
4,500,6,0.08,1,9,0.49,0.7,0.9464,0.5396,0.1983
4,500,6,0.08,2,9,0.43,0.54,0.9426,0.5175,0.202
10,700,6,0.08,1,6,0.37,0.44,0.9046,0.5173,0.1983
7,600,6,0.1,1,9,0.52,0.46,0.9634,0.5441,0.1983
13,600,6,0.08,3,6,0.86,0.95,0.9191,0.6227,0.2169
10,700,6,0.1,2,10,0.56,0.48,0.9775,0.5023,0.202
13,600,6,0.05,3,6,0.47,0.43,0.8676,0.6216,0.2169
7,600,6,0.1,2,6,0.57,0.5,0.9415,0.5337,0.202
25,500,6,0.05,1,8,0.56,0.48,0.8831,0.5182,0.1983
4,600,6,0.11,3,10,0.61,0.43,0.9725,0.6231,0.2169
4,700,6,0.05,2,7,0.7,0.56,0.9274,0.5179,0.202
7,500,6,0.11,2,8,0.77,0.53,0.9666,0.5275,0.202
4,500,6,0.1,3,8,0.84,0.67,0.9624,0.6211,0.2169
25,600,6,0.11,2,8,0.42,0.91,0.9409,0.5187,0.202
10,600,6,0.08,3,6,0.27,0.74,0.8795,0.6189,0.2169
25,700,6,0.11,3,9,0.36,0.89,0.9443,0.6138,0.2169
25,700,6,0.11,2,10,0.72,0.91,0.979,0.4959,0.202
10,500,6,0.05,1,6,0.58,0.51,0.87,0.5084,0.1983
10,700,6,0.11,2,7,0.33,0.51,0.942,0.501,0.202
10,500,6,0.08,1,8,0.59,0.46,0.9406,0.5225,0.1983
25,500,6,0.05,2,6,0.48,0.59,0.8344,0.5294,0.202
7,700,6,0.11,3,10,0.86,0.41,0.9806,0.6127,0.2169
10,600,6,0.1,3,6,0.7,0.83,0.9406,0.6081,0.2169
7,600,6,0.1,1,6,0.4,0.93,0.9296,0.5226,0.1983
13,700,6,0.11,1,9,0.28,0.91,0.9464,0.516,0.1983
7,500,6,0.1,1,9,0.21,0.92,0.9163,0.5012,0.1983
25,700,6,0.05,2,10,0.46,0.8,0.9253,0.5154,0.202
4,700,6,0.05,2,9,0.56,0.71,0.9476,0.5326,0.202
25,500,6,0.1,3,8,0.27,0.94,0.8836,0.6066,0.2169
25,700,6,0.05,2,7,0.25,0.94,0.8374,0.5245,0.202
25,600,6,0.1,3,10,0.81,0.5,0.9654,0.6093,0.2169
13,600,6,0.08,1,7,0.55,0.88,0.9403,0.5291,0.1983
13,700,6,0.05,1,6,0.41,0.71,0.877,0.5255,0.1983
25,500,6,0.08,3,8,0.4,0.42,0.8912,0.607,0.2169
4,600,6,0.1,1,8,0.31,0.46,0.941,0.5323,0.1983
25,600,6,0.05,1,6,0.9,0.6,0.8633,0.5216,0.1983
13,600,6,0.1,1,6,0.42,0.78,0.916,0.5422,0.1983
4,500,6,0.11,3,8,0.24,0.58,0.9273,0.6198,0.2169
25,600,6,0.08,2,9,0.36,0.9,0.9233,0.5129,0.202
10,700,6,0.1,2,9,0.62,0.54,0.9771,0.5025,0.202
10,700,6,0.11,1,8,0.44,1.0,0.9661,0.5215,0.1983
7,600,6,0.11,3,7,0.89,0.77,0.9633,0.5963,0.2169
25,500,6,0.08,1,9,0.45,0.8,0.9213,0.5453,0.1983
10,700,6,0.1,2,7,0.46,0.97,0.9595,0.5076,0.202
13,700,6,0.1,2,9,0.7,0.69,0.9775,0.5097,0.202
25,600,6,0.05,3,6,0.22,0.46,0.7744,0.5914,0.2169
25,600,6,0.05,2,9,0.71,0.4,0.9123,0.5169,0.202
4,600,6,0.08,2,8,0.28,0.41,0.9262,0.4828,0.202
13,600,6,0.1,3,10,0.81,0.62,0.9702,0.6133,0.2169
25,500,6,0.08,1,6,0.27,0.93,0.8314,0.5065,0.1983
10,500,6,0.08,1,6,0.24,0.62,0.8532,0.4988,0.1983
25,700,6,0.11,2,9,0.34,0.97,0.9446,0.515,0.202
13,500,6,0.11,3,8,0.67,0.93,0.958,0.6109,0.2169
10,500,6,0.1,1,7,0.38,0.52,0.9165,0.5063,0.1983
13,600,6,0.08,3,9,0.23,0.7,0.9061,0.6251,0.2169
7,700,6,0.11,1,10,0.44,0.77,0.9743,0.5315,0.1983
13,700,6,0.05,3,6,0.89,0.77,0.8921,0.6216,0.2169
25,600,6,0.11,3,6,0.32,0.58,0.8721,0.6161,0.2169
10,500,6,0.1,3,6,0.45,0.59,0.9136,0.6378,0.2169
25,500,6,0.11,3,7,0.86,0.75,0.9345,0.6103,0.2169
10,700,6,0.1,2,6,0.72,1.0,0.9542,0.5025,0.202
7,700,6,0.11,1,6,0.8,0.52,0.9596,0.5403,0.1983
10,600,6,0.05,2,8,0.29,0.78,0.8903,0.5365,0.202
10,600,6,0.1,3,10,0.2,1.0,0.9306,0.636,0.2169
7,600,6,0.1,3,7,0.63,0.73,0.9586,0.6362,0.2169
13,500,6,0.1,3,6,0.63,0.63,0.9212,0.6096,0.2169
4,500,6,0.1,3,8,0.47,0.94,0.9532,0.6318,0.2169
25,700,6,0.1,1,8,0.73,0.98,0.9623,0.5314,0.1983
13,600,6,0.05,1,8,0.58,0.61,0.9189,0.5378,0.1983
25,600,6,0.05,2,10,0.22,0.6,0.8523,0.5247,0.202
7,600,6,0.05,1,10,0.8,0.82,0.9393,0.5347,0.1983
7,700,6,0.08,1,10,0.76,0.74,0.9733,0.5244,0.1983
7,500,6,0.11,1,10,0.44,0.83,0.9608,0.5115,0.1983
4,700,6,0.08,2,8,0.75,0.61,0.9677,0.4931,0.202
10,600,6,0.1,3,7,0.48,0.56,0.9458,0.6325,0.2169
25,700,6,0.1,2,7,0.29,0.69,0.8977,0.5235,0.202
4,500,6,0.11,2,9,0.61,0.49,0.9684,0.5001,0.202
10,500,6,0.1,3,8,0.89,0.43,0.9541,0.6396,0.2169
13,600,6,0.05,3,9,0.73,0.42,0.9262,0.6294,0.2169
10,500,6,0.11,1,6,0.3,0.76,0.8943,0.5128,0.1983
13,500,6,0.05,2,9,0.8,0.88,0.9177,0.5191,0.202
25,700,6,0.11,3,10,0.61,0.8,0.9732,0.6031,0.2169
4,600,6,0.1,1,6,0.2,0.67,0.8948,0.5213,0.1983
7,500,6,0.1,3,9,0.53,0.43,0.9547,0.6151,0.2169
7,700,6,0.05,2,10,0.58,0.51,0.9464,0.5168,0.202
10,600,6,0.1,1,7,0.83,0.88,0.9601,0.5361,0.1983
10,700,6,0.1,1,6,0.57,0.82,0.9501,0.522,0.1983
10,600,6,0.08,3,6,0.74,0.77,0.924,0.6219,0.2169
25,700,6,0.1,2,6,0.57,0.8,0.9258,0.5049,0.202
7,700,6,0.08,2,9,0.73,0.63,0.9724,0.5208,0.202
7,600,6,0.1,1,6,0.86,0.6,0.9412,0.5238,0.1983
10,700,6,0.1,1,10,0.35,0.82,0.9607,0.5399,0.1983
7,700,6,0.1,1,7,0.22,0.63,0.9169,0.5032,0.1983
25,600,6,0.08,1,6,0.67,0.67,0.9042,0.5318,0.1983
13,700,6,0.05,2,7,0.74,0.7,0.9171,0.511,0.202
7,700,6,0.05,3,7,0.4,0.85,0.9116,0.6299,0.2169
7,500,6,0.08,3,8,0.38,0.98,0.9328,0.6412,0.2169
25,700,6,0.1,3,6,0.36,0.51,0.8825,0.5978,0.2169
13,600,6,0.11,3,7,0.6,0.88,0.9556,0.5985,0.2169
4,700,6,0.05,1,7,0.45,0.81,0.9205,0.5412,0.1983
13,600,6,0.1,1,7,0.35,0.83,0.9234,0.5359,0.1983
25,600,6,0.1,2,8,0.6,0.46,0.9502,0.5094,0.202
10,700,6,0.1,3,8,0.62,0.88,0.9708,0.6181,0.2169
7,700,6,0.08,1,10,0.67,0.8,0.9732,0.5374,0.1983
7,700,6,0.1,1,8,0.87,0.47,0.9742,0.5147,0.1983
4,500,6,0.11,2,9,0.72,0.99,0.9758,0.512,0.202
25,700,6,0.11,1,7,0.34,0.74,0.9126,0.509,0.1983
7,700,6,0.11,1,9,0.73,0.48,0.9794,0.533,0.1983
10,500,6,0.11,2,6,0.58,0.87,0.9371,0.5268,0.202
10,600,6,0.1,1,7,0.34,0.82,0.9303,0.5262,0.1983
