leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
25,600,6,0.05,2,9,0.38,0.67,0.894,0.4968,0.202
4,700,6,0.05,1,9,0.41,0.48,0.9263,0.5391,0.1983
13,600,6,0.1,2,6,0.36,0.45,0.9114,0.4827,0.202
10,500,6,0.08,2,10,0.21,0.95,0.9153,0.4868,0.202
13,500,6,0.1,3,8,0.64,0.86,0.958,0.5529,0.2169
7,600,6,0.05,2,8,0.82,0.74,0.9299,0.4869,0.202
13,600,6,0.1,3,6,0.24,0.74,0.879,0.5681,0.2169
25,700,6,0.1,3,8,0.41,0.7,0.9392,0.5748,0.2169
25,500,6,0.1,3,9,0.34,0.52,0.9141,0.5519,0.2169
7,600,6,0.05,1,8,0.81,0.44,0.9188,0.5429,0.1983
10,700,6,0.1,1,9,0.6,0.67,0.9736,0.5374,0.1983
13,500,6,0.05,2,7,0.39,0.95,0.882,0.504,0.202
13,600,6,0.05,3,10,0.8,0.84,0.9413,0.5548,0.2169
25,600,6,0.08,3,9,0.54,0.9,0.9448,0.5594,0.2169
10,600,6,0.11,2,7,0.58,0.87,0.9652,0.4551,0.202
10,500,6,0.05,3,6,0.41,0.56,0.8562,0.5532,0.2169
7,500,6,0.08,2,9,0.72,1.0,0.9598,0.463,0.202
4,500,6,0.11,3,7,0.59,0.77,0.9602,0.5588,0.2169
25,600,6,0.1,1,7,0.59,0.88,0.9324,0.5349,0.1983
25,700,6,0.08,3,8,0.88,0.86,0.9571,0.5519,0.2169
4,700,6,0.08,1,9,0.63,0.72,0.9689,0.5346,0.1983
7,500,6,0.05,2,8,0.29,0.49,0.8814,0.4956,0.202
4,600,6,0.08,2,10,0.61,0.85,0.9702,0.4726,0.202
25,600,6,0.08,2,10,0.73,0.76,0.9601,0.4471,0.202
10,700,6,0.05,2,9,0.79,0.89,0.9494,0.4725,0.202
25,500,6,0.1,1,6,0.82,0.91,0.914,0.5119,0.1983
10,600,6,0.11,3,9,0.85,0.7,0.976,0.5351,0.2169
4,700,6,0.1,2,9,0.9,0.48,0.98,0.4748,0.202
7,500,6,0.08,1,6,0.47,0.77,0.9136,0.5506,0.1983
10,500,6,0.05,3,10,0.57,0.67,0.9234,0.5624,0.2169
4,500,6,0.1,1,8,0.82,0.87,0.9608,0.5423,0.1983
4,500,6,0.11,3,9,0.47,0.66,0.9629,0.5641,0.2169
7,700,6,0.1,2,6,0.52,0.5,0.9539,0.4623,0.202
13,600,6,0.1,3,10,0.39,0.45,0.9541,0.558,0.2169
10,500,6,0.05,2,10,0.89,0.78,0.9263,0.4836,0.202
7,500,6,0.1,2,6,0.43,0.99,0.9318,0.4786,0.202
7,600,6,0.1,3,10,0.32,0.72,0.955,0.5561,0.2169
13,700,6,0.08,3,9,0.6,0.94,0.9674,0.5797,0.2169
25,700,6,0.11,3,8,0.9,0.64,0.9707,0.5596,0.2169
10,600,6,0.05,3,6,0.34,0.55,0.8552,0.5633,0.2169
25,700,6,0.05,2,7,0.68,0.8,0.9067,0.4876,0.202
