INCHIKEY,pH_aq,IE,IE_hat_fp,class_fp
KIEQPXTUHQNADD-UHFFFAOYSA-N,2.7,5.18,4.934134645417565,train
KTUBSXMBPVHJQY-INIZCTEOSA-N,2.7,2.26,2.2961287969155664,test
JQKHNBQZGUKYPX-UHFFFAOYSA-N,2.7,5.59,3.044027490251592,test
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.7687500000000003,2.7664513015625,2.927755563475872,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,10.699999999999998,3.313333333333333,3.384346421467817,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.0,3.1025,2.9796510124998288,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,7.833333333333333,3.59,3.4275733055328623,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,6.767999999999999,3.284,3.230439046807055,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,5.613333333333333,3.1766666666666663,3.219473603835916,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.322339632816549,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,3.914166666666667,2.6604228088333333,2.7823182619823,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.022857142857143,2.6339890504285712,2.582144513876335,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.8244000000000007,3.149863206920001,3.015306810503358,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,7.987500000000001,2.3658228575000004,2.413474233310663,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,9.24,2.5935190423333334,2.706201172411124,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.794999999999999,2.4839120620000004,2.4312347419153904,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,10.015,2.9259120301666663,2.7933944063755685,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.193333333333334,3.401886427166667,3.3537318458669705,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,5.09875,2.7186287105,2.729681524214214,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,1.42,3.550195098,3.553161281861667,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,12.24,2.828358322,2.611761061523375,train
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.95,0.245,1.1064979916431035,test
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.0,0.35,0.7086625186661175,test
ROFVEXUMMXZLPA-UHFFFAOYSA-N,2.6999999999999997,2.861883189875,2.974529494110179,train
ROFVEXUMMXZLPA-UHFFFAOYSA-N,10.0,2.232921785,2.4263620923472633,train
BWZVCCNYKMEVEX-UHFFFAOYSA-N,2.7,3.37,3.6993076746332747,test
IAHOUQOWMXVMEH-UHFFFAOYSA-N,2.7,1.11,1.071215741411831,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,1.9,1.06,1.0363598148697497,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,6.5,-0.16,-0.045676745053603085,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,7.0,0.75,0.28976441986824053,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,2.8200000000000003,-0.08536185399999996,0.03163414305776291,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,1.9,0.63,0.7197821373791116,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,4.01,-0.6605475634,-0.8623241340689622,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,5.01,-1.22,-0.957736443344753,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,6.0200000000000005,-0.8494445766666666,-0.8102825828314071,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,7.0,-0.74,-0.45906915645386004,train
UHUCLRKNQALDRP-UHFFFAOYSA-N,2.7,5.52,5.399455153235088,train
SICWDJGRPKJYSF-UHFFFAOYSA-N,2.7750000000000004,4.833554415,4.0706509102311195,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,1.9,4.68,4.236295846097718,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,4.01,4.636854643833334,3.7032322886672513,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,5.01,4.537531371,3.650516136795811,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,6.0225,4.888293495999999,3.6985826165246833,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,7.0,4.73,3.792761118450944,test
VHNQIURBCCNWDN-UHFFFAOYSA-N,3.8183333333333334,3.9426504458333334,3.727863301253897,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,6.0777777777777775,3.6641582724444444,3.3889857739990776,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,2.9509999999999996,3.7226962463999995,3.7364108671992122,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,7.987500000000001,3.66232138225,3.5862954266094107,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,9.24,3.8002651563333334,3.5967613274663304,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,6.754,3.434331039,3.3483967779023893,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,10.1475,3.54406312575,3.6249746008698445,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,2.193333333333334,3.550205983833333,3.8106520598090636,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,5.1875,3.8176907215,3.472154103386277,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,1.42,3.528191554,3.664864710842765,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,12.24,3.515534716,3.6512856158897393,train
IBTGEEMBZJBBSH-UHFFFAOYSA-N,2.7,1.12,3.350497263841461,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,2.8200000000000003,2.8780956912,3.4564387738918056,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,1.9,3.125,3.498314558191143,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,4.01,2.1207238718333334,3.1264334250808643,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,5.01,1.8978244974999998,3.119104480045021,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,6.0200000000000005,1.9508795393333331,2.9795703979819654,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,7.0,1.79,2.82696091051698,test
UJRRDDHEMZLWFI-UHFFFAOYSA-N,2.7,0.6087479880769231,0.5246185466543203,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,10.7,0.395,0.5164954574052207,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,6.785,0.355,0.5585406911347714,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,5.52,0.8150000000000001,0.6783196807317036,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,7.8,1.19,1.0849682569382975,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,2.0,0.065,0.12334382236309027,train
JWYUFVNJZUSCSM-UHFFFAOYSA-N,2.7750000000000004,3.31837361625,3.399351588484076,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,1.9,3.1,3.27689352275795,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,4.01,3.146659061833334,3.0827995223540796,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,5.01,3.1607054540000004,3.122384831218002,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,5.924,3.173258553,3.0622161489142705,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,7.0,3.06,2.9795677977011668,test
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.457528014760823,test
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.7084049406430841,test
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.404874753323745,test
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.5875889500965357,test
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.582285136726104,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.4225795076086607,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.942083053262333,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.4360770946770143,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,9.24,2.755716960333333,2.686292608845079,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.824285714285714,2.357913932857143,2.285451677978143,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,10.1475,3.0089591105,2.855608924856668,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.1514285714285717,2.9869597472857143,3.1712825449848046,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,5.128333333333333,2.57787401,2.51472473132833,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,1.42,3.344664477,3.2743430404842306,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,10.7,2.18,2.319689092545342,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,12.24,2.513556691,2.6224094177914687,train
ICSNLGPSRYBMBD-UHFFFAOYSA-N,2.6999999999999997,2.4024089344444444,2.7021728769297653,train
